,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
141,Chihuahua (dog),"The Chihuahua  (listen) (Spanish: chihuahueño) is the smallest breed of dog, and is named after the Mexican state of Chihuahua. Chihuahuas possess a wide variety of fur colors and coat thicknesses.

",https://upload.wikimedia.org/wikipedia/commons/4/4c/Chihuahua1_bvdb.jpg,Chihuahua,"Chi, Chi-chi",Chihuahua Mexico,{{convert|4|-|6|lb|abbr|=|on|order|=|flip}},{{convert|6|–|10|in|cm|abbr|=|on|order|=|flip}},Short-haired (smooth coat) and long-coat,"white, black, tan and many other colors",12-20 years
142,Chilean Terrier,"The Chilean Terrier is the first breed of dog from Chile. The breed dates back to the late 19th century, resulting from the crossing of the Smooth Fox Terrier and other breeds that existed before the arrival of the Spaniards.
The Chilean Association of Dog Breeders and Exhibitors (ACEPE, A.G.) has been working on a project that aims to have Chilean Terriers be the first officially recognized Chilean breed, organizing specialized samples, implementing an identification system, and forming a study team.
For some time, it has been included in Group 11 of the Kennel Club of Chile (KCC), but has not yet been officially recognized by the FCI. Since 2011, the breed belongs to Group 3 of Alianz Canine Worldwide (ACW).",https://upload.wikimedia.org/wikipedia/commons/c/c8/Fox_terrier_chileno.JPG,Ratonero<br>Chilean Rat Terrier<br>Chilean Fox Terrier,,[[Chile]],,,,,
143,Chinese Chongqing Dog,"Chinese Chongqing dog, known as East Sichuan city dog (Chinese: 川东猎犬) in China, is a dog breed originally from southwestern China's Sichuan and Chongqing.
The history of this breed can be traced back to Western Han Dynasty (BC 202- AD 8). Archaeologists found a huge Western Han Dynasty’s graveyard in Chongqing on 20 April 2000. A large number of dog pottery statues of their kind were found. Some of them served the purpose of being protector Gods to accompany the tomb of the noble family in spirit. This ancient breed was also used for hunting in the mountain area of East Sichuan. They are intelligent, fearless, agile species with outstanding senses of smell. Chongqing dog are medium-sized dogs and are covered with short harsh coat, which enhances their flexibility to go through the bush while hunting.",https://upload.wikimedia.org/wikipedia/commons/d/d8/Chinese_Chongqing_Dog_H%C3%BCndin.jpg,East Sichuan Hound,,,,35-45 cm,,,
144,Chinese Crested Dog,"The Chinese Crested Dog is a hairless breed of dog. Like most hairless dog breeds, the Chinese Crested Dog comes in two varieties, with and without fur, which are born in the same litter: the Powderpuff and the Hairless.

",https://upload.wikimedia.org/wikipedia/commons/9/97/IndyStands.jpg,,"Crested,  Puff",China,,,,,
145,Chinese Imperial Dog,"The Chinese Imperial Dog  is a Toy dog breed with a wrinkly, short-muzzled face, and curled tail. Kennel clubs originally classified the breed under the shih-tzu, before recognizing the Imperial as a separate breed. Other names for the Chinese Imperial Dog include: Imperial Shih Tzu, Lion Dog, Micro Shih Tzu, Miniature Shih Tzu, Princess-type Shih Tzu, Tiny Teacup Shih Tzu, Tiny Toy Shih Tzu. The purpose of the Chinese Imperial Dog is considered a Companion dog.",https://upload.wikimedia.org/wikipedia/commons/0/0d/Chinese_Imperial_Dog.jpg,Imperial Shih-Tzu,,China,,,,,
146,Chinook (dog),"The Chinook is a rare breed of sled dog, developed in the state of New Hampshire during the early 20th century. The Chinook is New Hampshire's official state dog.",https://upload.wikimedia.org/wikipedia/commons/8/84/Mountan_Laurel_Ajax_the_Chinook_dog.jpg,,,[[United States]],,,,,
147,Chippiparai,"The Chippiparai is a sighthound breed of dog from the south of India. It is Solid and single coloured version of indigenous Hound dog of Tamil Nadu, today it is found in the area around Periyar Lake while Black and tan, black and sable versions are called as Kanni. It is used primarily for hunting wild boar, deer and hare. It is also used for guarding the home. Bred by royal families in Chippiparai in Virudhunagar district Tamil Nadu, it was kept as a symbol of royalty and dignity mostly in Tirunelveli and Madurai rulers.",https://upload.wikimedia.org/wikipedia/commons/f/f9/Female_Chippiparai_sitting.jpg,[[Kanni]],,[[India]],,,,,
148,Chiribaya Dog,"The Chiribaya Dog (Spanish: perro Chiribaya) or Peruvian Shepherd Dog (perro pastor Peruano) was a pre-Columbian breed of dog from the southwest of Peru, identified by the 42 mummies discovered by anthropologist Sonia Guillén Oneglio in the Ilo District, Moquegua Region, on the southern coast of Peru. It has been established that it was a  llama herding dog. The dogs were not only an important part of the social structure of the ancient Peruvians, but they received special treatment after death as well.  The dog variety has been referred to in various Spanish-language documentaries under different terms, such as el perro pastor Chribaya ('the Chiribaya shepherd dog') and pastor Peruano ('Peruvian shepherd'), though the ancient Peruvians did not keep sheep. Its original name is unknown (it has been referred to more ambiguously by the term perro Peruano or perro del Perú ('Peruvian dog', 'dog of Peru'), but this has also been applied to an extant but ancient hairless variety, referred to in more detail as perro sin pelo del Perú, 'hairless dog of Peru', or the Peruvian Inca Orchid, a favorite in South American dog shows).",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,"'' {{lang|es|Perro Chiribaya}} '',<br />Chiribaya Shepherd [Dog] ('' {{lang|es|[perro] pastor Chiribaya}} ''),<br />Peruvian Shepherd [Dog] ('' {{lang|es|[perro] pastor Peruano}} ''",,[[Peru]],,small,longish,beige,
149,Chow Chow,"The Chow-Chow (sometimes simply Chow) is a dog breed originally from northern China, where it is referred to as Songshi-Quan (Pinyin: sōng-shī quǎn 鬆獅犬), which  means ""puffy-lion dog"".",https://upload.wikimedia.org/wikipedia/commons/0/0e/Chow-chow_in_Tallinn.JPG,"Chow, Chowdren",,[[China]],{{convert|40|-|90|lb|kg|abbr|=|on}},{{convert|17|to|22|in|cm}} {{rp|4–5}},Thick and coarse,"{{plainlist|
* Red (light gold to deep red-brown)
* Cinnamon (light tan to brown)
* Black
* Cream
* Blue}}",11–13 years
150,Cierny Sery,"The Cierny Sery has a thin, double, coat that was designed to not inhibit the dog's working ability in any way. The texture is hard and dense. The undercoat is thick and profuse.
Cierny Series appear in 3 types. Short Cierny Series have double coats. Long Cierny Series have double coats, with longer coats on ears, legs, and tails. Rough Cierny Series have a rough double coat, with a moustache and barb on his chops.
The colour is usually black.",https://upload.wikimedia.org/wikipedia/commons/0/08/8s45heryprobaobraz_018.jpg,,,[[Slovakia]],,,,,
151,Cirneco dell'Etna,"The Cirneco dell'Etna (Italian pronunciation: [tʃirˈnɛko delˈlɛtna]; plural Cirnechi [tʃirˈnɛki]) is a small breed of dog originally from Italian island of Sicily. This hound was historically used to hunt rabbits and can work for hours without food or water. The breed also has a keen sense of smell and is primarily built for endurance over harsh terrain such as that of Mount Etna. It is the smallest of the Mediterranean island hunting hounds, the others being the Pharaoh Hounds and Ibizan Hounds.
Today they are increasingly kept for conformation showing and as pets, due to their low coat maintenance and friendly nature, although as active hounds they do need regular exercise. A Cirneco should measure from 43 to 51 cm (17 to 20 in) and weigh between 10 and 12 kg (22 and 26 lb). As with other breeds, those from hunting stock can lie outside these ranges.

",https://upload.wikimedia.org/wikipedia/commons/7/7b/Cirneco_dell_Etna_611.jpg,,Cirneco,[[Italy]],{{convert|10|-|12|kg|lb|0|abbr|=|on}},{{convert|46|-|52|cm|in|0|abbr|=|on}},"Short on head, short to semi-long on body",,Over 12 Years
152,Clumber Spaniel,"The Clumber Spaniel is a breed of dog of the spaniel type, developed in the United Kingdom. It is the largest of the spaniels, and comes in predominantly white with either lemon or orange markings. The name of the breed is taken from Clumber Park in Nottinghamshire where the breed was first developed. It is a gundog that specialises in hunting in heavy cover. They are gentle and loyal, and can act aloof with strangers. They have several habits which could be considered disadvantages, including a constant shedding of its coat and snoring.
The history of the breed is uncertain prior to the mid-19th century with two theories being prevalent. Clumber Spaniels have been kept and bred by various members of the British Royal Family, including Prince Albert, King Edward VII and King George V. They were introduced into Canada in 1844, and in 1884 became one of the first ten breeds recognised by the American Kennel Club. The breed can suffer from a variety of breed-specific ailments varying in severity from temporary lameness due to bone growth whilst young to hip dysplasia or spinal disc herniation.",https://upload.wikimedia.org/wikipedia/commons/4/40/Clumber_spaniel_rybnik_kamien_pppl.jpg,,,England,,,,,
153,Rough Collie,"The Rough Collie (also known as the Long-Haired Collie) is a long-coated dog breed of medium to large size that, in its original form, was a type of collie used and bred for herding sheep in Scotland. Originating in the 1800s,  the breed is now well known through the works of author Albert Payson Terhune, beginning with books about Lad, and through Lassie novels, movies, and television shows. Rough Collies generally come in shades of sable and white (sometimes mahogany), blue merle, tri-colored, and white. The breed has a distinctive long tapered snout and tipped ears.
There is a smooth-coated variety known as a Smooth Collie; some breed organisations, including both the American and Canadian Kennel Clubs, consider the smooth-coat and rough-coat breeds to be variations of the same breed. Rough Collies closely resemble the smaller Shetland Sheepdog or ""Sheltie"", but the two breeds do not have an exclusive linear relationship.",https://upload.wikimedia.org/wikipedia/commons/4/48/Rough_Collie_600.jpg,"Collie, Scottish Collie, Long-Haired Collie, English Collie, ""Lassie"" dog",,[[United Kingdom]] ([[Scotland]]),{{convert|20|-|34|kg|lb|abbr|=|on}},55.8 to 66 cm (22 to 26 in),long double coat,,13 to 15+ years
154,Smooth Collie,"The Smooth Collie is a breed of dog developed originally for herding. It is a short-coated version of the Rough Collie of Lassie fame. Some breed organisations consider the smooth-coat and rough-coat dogs to be variations of the same breed.

",https://upload.wikimedia.org/wikipedia/commons/3/3a/SmoothCollieTri2_wb.jpg,Collie (Smooth Coat),,[[Scotland]],,,,,
155,Combai,"The Combai is a terrier-like dog breed found in and around the Tamil Nadu state as well as bordering areas of the state of Kerala India. It is considered an extremely loyal, intelligent and powerful native breed.",https://upload.wikimedia.org/wikipedia/commons/a/a3/Kombai_dog.jpg,Indian Terrier,,India,,,,,
156,Cordoba Fighting Dog,"The Cordoba Fighting Dog is an extinct breed of fighting dog. The Cordoba was a crossbreed of Alano Español, Mastiff, Bull Terrier, Bulldog and Boxer.. Its temperament includes being very fierce, very aggressive, strong, vigorous, and relentless (high stamina).",https://upload.wikimedia.org/wikipedia/commons/8/83/Patan.jpg,Perro de Pelea Cordobés<br>Cordobese dog<br>Cordoba Dog,,[[Argentina]],,,,,
157,Coton de Tulear,"The Coton de Tuléar is a breed of small dog named for the city of Tuléar (also known as Toliara) in Madagascar. This breed is thought to have originated from a group of small white dogs who swam across the Malagasy channel following a shipwreck. Known for its cotton-like coat, the Coton de Tuléar, typically grows to no more than 18 pounds, and are white, sometimes with gray, black, or tricolored markings.

",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,"Coton, ""Cotie""",[[Madagascar]],,,,,
158,Cretan Hound,"The Kritikos Lagonikos (Cretan Hound) (Greek:Kρητικός Λαγωνικός) is a hunting breed of dog from the island of Crete, in Greece. It is considered 
to be one of the oldest hunting breeds in Europe, with a history that goes back to 4,000 years ago.
This is a multi-talented dog that comes directly from Crete. Its excellent scent, speed, agility, and durability make it an exceptional hare hunter. Cretan Hounds also have guarding instincts as well as pastoral instincts.
The Cretan Hound is nationally recognized both in Greece and in Germany.",https://upload.wikimedia.org/wikipedia/commons/3/34/Cretan_Hound%2C_drawing_by_Maria_Gkinala.jpg,"Kressa Kyon, Kritikos Ichnilatis","""Ntopio""",{{flag|Greece}} ([[Crete]]),{{convert|15|-|22|kg|lb|abbr|=|on}},{{convert|52|-|60|cm|in|abbr|=|on}},"Short, smooth, hard, flat","solid, particolor or tricolor",average 14 yrs or more
